participant,mu,mu_list,time,intensity,deltaf,rt,dr
lynnette,1,MU447,c1,40,,13.4210376,7.250713102
lynnette,2,MU448,c1,40,,13.99844495,8.005365659
lynnette,3,MU449,c1,40,,19.49508197,7.502317208
lynnette,4,MU450,c1,40,,15.60880538,7.021077521
lynnette,5,MU451,c1,40,,41.36910097,7.820003298
lynnette,6,MU452,c1,40,,,
lynnette,7,MU453,c1,40,,74.85599196,5.533393496
lynnette,8,MU454,c1,40,,,
lynnette,9,MU455,c1,40,1.091459409,71.11147736,7.633418866
lynnette,10,MU456,c1,40,,46.89512277,11.6166994
lynnette,11,MU457,c1,40,,76.46535198,11.90673247
lynnette,1,MU458,c2,20,,44.15976134,7.698024521
lynnette,2,MU459,c2,20,,53.37793038,7.299426867
lynnette,3,MU460,c2,20,,54.15735829,7.171286238
lynnette,4,MU461,c2,20,,63.17921122,6.691396398
lynnette,5,MU462,c2,20,,73.7992431,7.510597229
lynnette,6,MU463,c2,20,0.184367336,75.01452629,9.18338824
lynnette,7,MU464,c2,20,,89.59055176,6.275168796
lynnette,8,MU465,c2,20,,,
lynnette,1,MU458,c2,40,,,
lynnette,2,MU459,c2,40,,38.56885169,7.649142891
lynnette,3,MU460,c2,40,,33.71794079,8.31138347
lynnette,4,MU461,c2,40,,48.75778515,7.449215753
lynnette,5,MU462,c2,40,,53.97088619,8.076156154
lynnette,6,MU463,c2,40,1.478033343,66.78752976,13.43214242
lynnette,7,MU464,c2,40,,,
lynnette,8,MU465,c2,40,,75.1380225,8.531852472
lynnette,1,MU466,post,20,,16.058737,8.19697776
lynnette,2,MU467,post,20,,31.27656163,7.767668044
lynnette,3,MU468,post,20,,41.09811347,8.170148466
lynnette,4,MU469,post,20,1.419940006,52.37696841,7.869963367
lynnette,5,MU470,post,20,,60.2665509,10.21747444
lynnette,6,MU471,post,20,,63.86733593,6.965892644
lynnette,7,MU472,post,20,,81.89497664,6.827973212
lynnette,8,MU473,post,20,,86.76586554,6.398156168
lynnette,9,MU474,post,20,,,
lynnette,10,MU475,post,20,,,
lynnette,1,MU466,post,40,,6.542484281,10.06894717
lynnette,2,MU467,post,40,,6.079983241,8.300052847
lynnette,3,MU468,post,40,,23.17499775,12.58881019
lynnette,4,MU469,post,40,1.916135965,36.60283473,8.656766028
lynnette,5,MU470,post,40,,,
lynnette,6,MU471,post,40,,36.39772921,9.570470697
lynnette,7,MU472,post,40,,,
lynnette,8,MU473,post,40,,,
lynnette,9,MU474,post,40,,68.17034437,7.263171742
lynnette,10,MU475,post,40,,76.8441753,8.763985673
steve,1,MU476,c1,20,,3.565707892,12.49250822
steve,2,MU477,c1,20,,3.619719894,11.15972705
steve,3,MU478,c1,20,,4.641979565,11.09558008
steve,4,MU479,c1,20,,7.398979336,12.19834046
steve,5,MU480,c1,20,,11.05682307,11.56487877
steve,6,MU481,c1,20,,11.12715148,7.158696652
steve,7,MU482,c1,20,,22.3277391,10.42571673
steve,8,MU483,c1,20,,49.74669287,9.1106285
steve,9,MU484,c1,20,,52.46665902,7.529666328
steve,10,MU485,c1,20,,75.62129501,7.980205711
steve,11,MU486,c1,20,,83.19052839,6.551884474
steve,12,MU487,c1,20,,,
steve,13,MU488,c1,20,,,
steve,14,MU489,c1,20,,,
steve,1,MU476,c1,40,,,
steve,2,MU477,c1,40,,,
steve,3,MU478,c1,40,,15.08449775,11.01533569
steve,4,MU479,c1,40,,,
steve,5,MU480,c1,40,,,
steve,6,MU481,c1,40,,2.347664056,7.193485901
steve,7,MU482,c1,40,,2.097227894,9.619081521
steve,8,MU483,c1,40,,2.090450458,9.144886474
steve,9,MU484,c1,40,,60.35757337,8.816684432
steve,10,MU485,c1,40,,27.72363569,8.49212825
steve,11,MU486,c1,40,,6.560464954,7.83216828
steve,12,MU487,c1,40,,54.83181584,8.747971381
steve,13,MU488,c1,40,,75.86088404,7.697967683
steve,14,MU489,c1,40,,85.44927731,6.80443649
steve,1,MU490,c2,20,,2.44426506,10.9675415
steve,2,MU491,c2,20,,3.533582089,10.92999858
steve,3,MU492,c2,20,,6.681584,10.77222216
steve,4,MU493,c2,20,2.441125599,6.700873319,7.821129874
steve,5,MU494,c2,20,2.437660863,10.34782724,7.91727445
steve,6,MU495,c2,20,2.320395806,14.68587588,9.83724228
steve,7,MU496,c2,20,,25.9743636,6.729586079
steve,8,MU497,c2,20,,54.56945003,5.303941568
steve,9,MU498,c2,20,,82.95649885,6.756064298
steve,10,MU499,c2,20,,,
steve,11,MU500,c2,20,,,
steve,12,MU501,c2,20,,,
steve,13,MU502,c2,20,,,
steve,14,MU503,c2,20,,,
steve,15,MU504,c2,20,,,
steve,16,MU505,c2,20,,,
steve,1,MU490,c2,40,,0.64439976,9.588880066
steve,2,MU491,c2,40,,,
steve,3,MU492,c2,40,,3.617388328,9.734273955
steve,4,MU493,c2,40,2.445263542,8.795342085,7.161473266
steve,5,MU494,c2,40,2.676279797,7.479006977,7.003730252
steve,6,MU495,c2,40,2.701712468,8.046744011,9.834030142
steve,7,MU496,c2,40,,,
steve,8,MU497,c2,40,,48.89633541,6.810827541
steve,9,MU498,c2,40,,41.59914942,7.871497321
steve,10,MU499,c2,40,,51.13924412,7.049786099
steve,11,MU500,c2,40,,52.2852888,6.691825593
steve,12,MU501,c2,40,,57.40487808,6.704394497
steve,13,MU502,c2,40,,61.89079799,7.83893116
steve,14,MU503,c2,40,,67.76539446,7.360705089
steve,15,MU504,c2,40,,70.21280977,7.428814344
steve,16,MU505,c2,40,,76.38841438,7.629325876
steve,1,MU506,post,20,,24.55420139,8.398078593
steve,2,MU507,post,20,,25.00035312,11.1460821
steve,3,MU508,post,20,,27.55318121,7.67990229
steve,4,MU509,post,20,,35.19229591,10.35646992
steve,5,MU510,post,20,,36.59090809,7.113180975
steve,6,MU511,post,20,2.190985509,63.81525112,8.071526171
steve,7,MU512,post,20,4.661501846,67.88166353,8.688644424
steve,8,MU513,post,20,,71.75300811,7.576214099
steve,9,MU514,post,20,2.687124919,73.88803789,7.692007559
steve,10,MU515,post,20,,77.022767,7.319081708
steve,11,MU516,post,20,,77.00551079,6.90090851
steve,12,MU517,post,20,,78.08518497,6.401585999
steve,13,MU518,post,20,3.379995676,78.16315857,7.562560388
steve,14,MU519,post,20,,86.17649157,6.055495098
steve,15,MU520,post,20,,88.10242932,6.00980013
steve,16,MU521,post,20,,90.26300807,9.339187696
steve,17,MU522,post,20,,93.81641601,6.761126905
steve,18,MU523,post,20,,,
steve,19,MU524,post,20,,,
steve,20,MU525,post,20,,,
steve,21,MU526,post,20,,,
steve,22,MU527,post,20,,,
steve,1,MU506,post,40,,20.855256,9.837288733
steve,2,MU507,post,40,,,
steve,3,MU508,post,40,,67.40012062,10.10901935
steve,4,MU509,post,40,,29.72727543,11.37274878
steve,5,MU510,post,40,,29.86015205,9.4102639
steve,6,MU511,post,40,1.678553365,42.26134454,10.73891657
steve,7,MU512,post,40,5.071000368,51.76971789,10.20538716
steve,8,MU513,post,40,,63.92335751,9.765493329
steve,9,MU514,post,40,2.836682203,59.89661439,11.42909133
steve,10,MU515,post,40,,,
steve,11,MU516,post,40,,,
steve,12,MU517,post,40,,,
steve,13,MU518,post,40,4.556136284,57.75662329,9.689494253
steve,14,MU519,post,40,,72.31481883,8.555863369
steve,15,MU520,post,40,,76.07864222,8.755356202
steve,16,MU521,post,40,,,
steve,17,MU522,post,40,,75.37166445,10.30079645
steve,18,MU523,post,40,,77.59446528,10.67900321
steve,19,MU524,post,40,,78.75947388,12.38793779
steve,20,MU525,post,40,,79.11077166,12.43950938
steve,21,MU526,post,40,,85.09425936,11.73238662
steve,22,MU527,post,40,,85.11859305,9.056428041
